,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
1,في,2,7147660,3.77986495279216,3.7457457682779,2.75892752400347,2.69836301135715
2,من,2,5173781,3.59452003659635,3.52784370952685,3.62635789711613,3.55497666070524
3,على,3,3206166,3.87805007565463,3.83730192861036,3.84903625963844,3.80741765109646
4,أن,2,2099709,4.13372434750573,3.99953043010253,4.71518607224703,4.63907566615873
5,إلى,3,1615960,4.1909788442706,4.02989901553091,4.99569205478731,4.91280606336908
6,عن,2,1256494,3.78051887989128,3.7047660098309,5.09802984571801,5.04770354059992
7,التي,4,1185201,4.74156645308206,4.70581100113964,3.08536950899785,3.05172191977309
8,لا,2,915071,6.1611830675729,6.12852827229813,3.41141351753179,3.36913676314132
9,ما,2,896121,6.0821315850665,6.05556370835435,4.10042660690092,4.10703268723289
10,مع,2,878064,4.9744545948061,4.94779412387784,5.6454323883245,5.6542863502536
11,هذا,3,794882,6.46994891182929,6.49160298662592,4.27636782895953,4.2275619240954
12,الذي,4,785679,5.50546310244516,5.54532570200907,3.98378885652542,3.94084998701065
13,هذه,3,683581,6.48958633755815,6.46670461069257,4.02101402371163,3.97767394417678
14,أو,2,555579,7.02002485018583,7.09956035347995,6.98789483068762,7.05763922632554
15,بعد,3,545284,7.08371517540938,7.2146282224723,5.47358054252286,5.4346555928062
16,بين,3,532894,5.5526429864355,5.51659798948185,5.65587952953734,5.63498323748772
17,و,1,511872,7.11859783874245,7.45922077822868,6.99155592421244,7.2134281293186
18,كل,2,474974,7.30452101032333,7.31236201581332,5.5531142411504,5.53907325295865
19,كان,3,450169,6.2346335568676,6.26287579328385,6.51092860171132,6.47946071988123
20,لم,2,442011,6.95524767573182,6.97266448808649,2.80716616097894,2.75214457623326
21,ذلك,3,437118,5.98604027788927,5.90823810027387,7.16354055696415,7.10721876559295
22,خلال,4,427843,6.93610481700444,6.91495520491982,5.19145316224853,5.16827353706594
23,إن,2,425115,6.35539503320361,6.38213303736068,7.12777340018943,7.06702794349528
24,كما,3,408485,8.26039827452529,8.42903715890972,5.35869795425464,5.28257201935706
25,هو,2,399238,7.04780752297021,7.09113218176891,6.96736814094589,6.94613849048566
26,الله,4,351884,3.01908885295913,2.95928933247798,6.183827645232,6.28195730565129
27,وقال,4,336847,9.98848609020137,10.2244445556902,5.39257287600134,5.44697523909797
28,قبل,3,330569,7.36728683900559,7.3666517921163,6.42394310213239,6.41502811498411
29,اليوم,5,295658,7.15946391843035,7.18285661202242,7.10886736607786,7.10194712298719
30,قد,2,293853,7.84751578683258,7.92274374526163,5.29035306832314,5.23873293120975
31,وفي,3,288148,9.06878616070865,9.23828347894745,6.12833031847014,6.07777988063922
32,العام,5,283630,5.36355503460854,5.40990248119935,5.79456180235002,5.76042236452562
33,ولا,3,275152,7.38638789713431,7.5106395514091,5.52862615480292,5.54006394815717
34,حتى,3,270310,7.93823638575156,8.07013425974489,6.32116749569737,6.37986967974645
35,هي,2,262988,7.3769350927524,7.44037718616133,7.44597334144383,7.44762575393015
36,أي,2,261698,7.35178886662882,7.31891227437626,6.26972053896529,6.20067443290726
37,غير,3,261298,8.00417505989799,8.05858503475906,4.75068939719847,4.66350362111207
38,رئيس,4,258819,6.31137375759254,6.39819873243751,3.74079628127076,3.64686390803437
39,حيث,3,257318,8.03477942503221,8.1650320990426,6.42060487724077,6.34182140748052
40,كانت,4,251859,6.92255955375249,6.9523444568104,7.16714257147497,7.14591895151624
41,عام,3,245641,6.8117320878961,6.77986737760338,4.30656912344537,4.3981217220387
42,أنه,3,231747,6.84406831187236,6.76901259317258,6.82302089640377,6.74126047595289
43,منذ,3,226000,7.79030539171333,7.84852601960483,5.23528683629086,5.16614563958877
44,الرئيس,6,219960,6.75251417953307,6.68881339779091,4.80504206195102,4.90673855485209
45,له,2,219564,6.49596559943069,6.52750140160198,8.19637692402637,8.23212401014471
46,وهو,3,215649,8.2051804447655,8.51007631735198,7.03159255766236,6.97805839387787
47,أكثر,4,213846,8.30278489562517,8.32979599648396,5.9718761035256,5.90769191457035
48,لكن,3,212625,8.81188152382761,8.94977821194428,8.01165849117235,8.02453682395722
49,العالم,6,211431,5.96190404693689,5.90537136464772,7.5751949452559,7.61174162468212
50,المتحدة,7,211009,0.523197193180506,0.542249608317244,7.59777579933607,7.59409454484539
51,ومن,3,204162,8.95481611461746,9.18664348834577,5.56738399984987,5.50617976451623
52,بعض,3,204026,8.11437889532431,8.11659462979318,5.74248356078764,5.76305860101309
53,هناك,4,201964,6.84785465504423,6.79468496802495,7.36621540792687,7.36201691878821
54,فيها,4,200059,6.80154117105272,6.81575783008007,8.89457177022618,8.9493001647598
55,وقد,3,199674,9.33308900786366,9.55766586570043,5.5709276758226,5.52554011580821
56,العربية,7,188529,4.20356252144785,4.16619064081633,7.14785224027303,7.35147806634723
57,هل,2,182927,7.54024717502913,7.69193105299416,6.39375992889504,6.37791670655361
58,محمد,4,178804,6.45207110822257,6.37635036905805,4.77277174076709,5.04237215066822
59,حول,3,177627,7.13961507479966,7.17688473459977,7.38605063122638,7.38240439841658
60,بها,3,176481,5.10125179298539,5.12136158100643,8.63119609134095,8.6688673690184
61,الذين,5,173755,6.1470374659695,6.22095298507258,3.88365821981136,3.90225136673648
62,العمل,5,172585,7.23719527668845,7.17573267161057,7.80864502956316,7.82010791714911
63,عليه,4,172340,5.65543642348735,5.6868040254129,7.87094743790222,7.89410044038082
64,تم,2,172161,7.19079165935302,7.12929404411372,4.87327534820512,4.88344569460063
65,بن,2,172076,4.2518866430804,4.258683174102,3.05140108631957,3.39105707077347
66,الدولية,7,169411,2.75504242006717,2.65583382820515,5.89602257911639,5.79808523225438
67,لها,3,168654,6.8547072195168,6.87212148143111,8.53139150211014,8.57340820356799
68,قال,3,166116,7.67372066626252,7.71813940913636,6.86735831849968,6.83661732669537
69,يمكن,4,165494,7.1316147946848,7.07019646773083,5.82875823801592,5.80960231789546
70,الدولة,6,165445,6.57380383783368,6.47587474510782,6.64499301302824,6.91739651973438
71,ة,1,165432,4.41174193793362,4.55036272317243,8.72973182435884,8.90610157561871
72,يكون,4,165009,6.15382829613869,6.12401556105762,7.62312731161201,7.59599354015648
73,عدد,3,164770,7.4381166930668,7.37828964036992,5.77074442845413,5.69677129029081
74,الحكومة,7,163081,7.41736945952945,7.3804527214765,7.21942223777615,7.23242523776946
75,الماضي,6,162365,4.05489408840035,4.07821315703165,8.51026759573417,8.44326293061845
76,فيه,3,160645,7.12744730307986,7.17768315557385,9.02914269209717,9.08397543379333
77,مجلس,4,159695,6.27945980702277,6.20073010506007,2.98472589975523,2.98140367219074
78,به,2,158953,5.11784928690168,5.21667641301434,8.93532033406062,9.10486559200278
79,إلا,3,158099,8.3305114190234,8.4600506332433,6.99577950360601,6.96487990485829
80,دون,3,157322,7.99903912942933,8.03174753341581,6.20124108140299,6.16516677958599
81,يوم,3,157320,8.20480509443221,8.25255063321306,5.64852499240696,5.59980959183099
82,مثل,3,152521,8.61479714860896,8.70920345819229,7.54975588974866,7.66131032739581
83,تلك,3,152153,8.61183339338673,8.61117588254854,6.31588726041691,6.29514866377876
84,ولكن,4,151821,8.80718905822343,8.96856814086146,8.26364172999195,8.27596931203798
85,أيضا,4,151472,8.4031896297136,8.6047180776683,9.23158553191866,9.20609834324073
86,بشكل,4,147564,8.19259457926282,8.27273076321355,3.58663600358476,3.52332565342736
87,وكان,4,145383,9.74716220785934,10.0991240642716,7.86844740123423,7.97145172084893
88,أخرى,4,143549,5.24024759324795,5.12298862482438,8.60824130903587,8.63823763409524
89,عبر,3,143284,8.24995150987216,8.37669022072631,6.72724875945413,6.87847508449533
90,ثم,2,142593,7.87616681907437,8.03386113944055,7.47003547428124,7.55204606421633
91,بأن,3,142214,7.06609344411488,7.09801697824509,8.57542324074032,8.56322282553042
92,وزير,4,139493,6.63879565578827,6.60952442671807,3.38316470805671,3.3007079505924
93,وهي,3,137629,8.64860048918932,8.97967593801315,8.08082243586118,8.05100730026878
94,بل,2,137592,8.12992993388683,8.22252967535892,8.05298729446649,8.14576692300694
95,علي,3,136113,7.48121097207192,7.60268474961513,7.41868083769719,8.15505672073199
96,ي,1,134404,7.33173962725219,7.80960651363033,5.92740439437112,6.22091972525591
97,ضد,2,133009,7.11018862081382,7.08227757728282,7.0423080236788,7.16433654384425
98,عليها,5,132558,5.38606037799069,5.4044667190316,9.03811223010263,9.09395941187205
99,الأول,5,132387,5.0068416324268,5.13079702846999,8.16880210010727,8.17987275076069
100,عند,3,129929,8.2173279572569,8.37900403408249,6.76331382669657,6.80215866817574
101,ليس,3,129172,8.66182342136813,8.73840484596106,6.91598425357995,6.89850791173899
102,نحو,3,128785,8.06326626457887,8.05178792359345,6.63165625692142,6.60231415057348
103,أمام,4,127581,7.56810443278127,7.63337577880625,7.08188697089501,7.25338433421396
104,عبد,3,127513,6.57189222960927,6.37676678161842,1.81670636803295,1.77806782956405
105,منها,4,127297,7.04346763655228,7.10801136462328,9.34924423669946,9.40502516754352
106,أحد,3,127258,8.47055310803996,8.53977680682556,6.82340344995516,6.81942188518322
107,إذا,3,127186,8.28282515481421,8.31925277509208,5.68019911150905,5.62386046392407
108,وأضاف,5,126990,11.0662306875065,11.2393816615872,6.97037821878136,6.97992430368437
109,السعودية,8,126909,7.05964538056282,7.13681151273322,8.73483873748732,8.74792985344023
110,م,1,125835,6.11570778359274,6.49249464952032,7.21281138690784,7.48508639255938
111,الاتحاد,7,125193,7.20792299731392,7.09126589666387,4.7692920724015,5.08746367588321
112,فيما,4,124957,8.93469050541398,9.08611210169643,6.13506643090786,6.06000323830988
113,مدينة,5,124625,7.77924011769843,7.71074146491352,4.63805097603776,5.19104998857135
114,آخر,3,124128,7.35997995478709,7.28493777827793,8.3286620743344,8.57519140953565
115,المنطقة,7,122328,7.35231891036022,7.28319719597018,8.08803069488834,8.03960572934506
116,سوريا,5,121429,7.60934178381213,7.53803099064309,8.53752819798045,8.53256572472723
117,الآن,4,120176,6.47641329934335,6.39532294604308,8.76474663675441,8.73530365474004
118,الوطني,6,120058,4.4008267211212,4.32933029137054,7.92106485361178,7.97587020013097
119,فقط,3,119153,8.01951259479988,8.09629435942738,8.97494769157321,8.99174328279267
120,عندما,5,119084,8.68819160856246,8.80779679912378,6.27341605835049,6.22402372355221
121,الثاني,6,118833,4.07345946788957,4.13459953019557,8.02543762765052,8.00930670322775
122,مليون,5,118132,4.35442039645909,4.45473399302028,3.42986246000962,3.34581962435539
123,مصر,3,116281,8.16848129693962,8.24903530776104,8.73850993834127,8.7602572065004
124,تكون,4,115739,6.70331787081083,6.67990056505549,8.1302398928766,8.12574255898153
125,الدول,5,115369,7.68369254455568,7.59591732751462,5.60131374438919,5.64002541425437
126,الجيش,5,115090,7.59977389636714,7.54382981352867,6.09929036980416,6.12196697704149
127,لن,2,115032,8.55155836497401,8.62558304635259,4.85604270278709,4.84554989118572
128,العربي,6,114753,5.42369306361191,5.33079615372708,8.57093358335574,8.64547150485973
129,بسبب,4,114563,8.6511346640065,8.74988598273361,6.82617838242717,6.88048884564031
130,فإن,3,113172,8.02556699341501,8.09338339709056,8.93241729155753,8.94433407651998
131,وزارة,5,111782,7.38649463107271,7.43294201301468,3.49928943750503,3.43806693169966
132,انه,3,111512,7.70956522320095,8.0261077463984,7.68878343807792,7.68162299306337
133,شركة,4,111115,7.93184950876875,7.89445272648365,4.68358528749955,7.13102131944426
134,ولم,3,110509,9.31488362218841,9.54429775294905,4.55415037669594,4.52147280802223
135,الدولي,6,110361,4.83957532697136,4.7621654513357,8.3593866135502,8.40519250995452
136,دولار,5,109438,2.25919133373058,2.17091418820687,7.18798358202462,7.26055428744921
137,جديدة,5,108382,6.02879507509155,5.99261788286919,8.58666763424173,8.60772101327463
138,منطقة,5,107420,7.96078196109096,7.90977703309201,5.41601931374524,6.18793055328063
139,الوقت,5,107105,6.89184659639837,6.81659129907719,6.23591466137087,6.16551456936267
140,جميع,4,106333,8.71522274212698,8.70429453244951,5.96187374759885,5.99445912356522
141,الأولى,6,105934,5.09290071368428,4.99339479794975,8.89963475070083,8.93059378923226
142,يجب,3,104931,8.74625955059001,8.73514426241731,6.31868571159152,6.33860227619288
143,الأخبار,7,103785,2.87721129296604,2.68822904412912,2.44325747570424,2.37724857158186
144,الرياض,6,103456,5.1519956027162,4.97613625813042,6.26469226256773,6.13171117264023
145,أما,3,102742,10.2303602759812,10.552293975347,8.7236847319422,8.75314808945215
146,تحت,3,102342,8.19860681019612,8.37280975401442,4.03491150849133,4.02472938948119
147,بما,3,102042,8.58346438866719,8.76110618989108,6.18292092757456,6.13600392352116
148,البلاد,6,102032,7.00985344935774,6.98145304137809,8.88936153966743,8.91671385769651
149,العامة,6,101795,4.13656302059796,4.12232336568462,7.5267982031425,7.57633147742041
150,فقد,3,101315,9.35826089832453,9.56834155186825,6.72294768572046,6.69453019990504
151,الأمن,5,100651,5.69311662791057,5.57805481479048,6.61274544139851,6.55468108700545
152,الساعة,6,100588,3.78143501502821,3.6879092222667,3.87537448874718,3.79754692766544
153,النظام,6,100292,7.89986976913679,7.90266031261285,7.34517955319003,7.37571128588177
154,د,1,100231,5.69539999866709,6.44734595634966,8.77757618144969,8.75284272927723
155,عدم,3,100062,8.08862860994895,8.00575897404953,5.41185318294179,5.38772858427691
156,أمس,3,99809,7.51997186092845,7.49818464408435,7.88420622654754,7.81884727653464
157,الناس,5,98822,7.6515037641101,7.75079285891155,8.73785147433328,8.95561940744403
158,الشعب,5,98478,7.33518631630537,7.48357300674513,6.3784331189634,6.43683134966061
159,ل,1,98288,3.63803964779177,4.66236345549898,8.97866111584412,9.04031046660598
160,عاما,4,98160,4.02278927866686,3.88452371433063,8.27414364476255,8.14554875748236
161,الخارجية,8,97482,3.87339167938053,3.7856993764299,7.07498429428638,7.26295751417923
162,الولايات,8,96777,8.32664600750715,8.34907018105998,1.76610273737244,1.59603153810196
163,وما,3,96662,9.34330805484178,9.59929413181757,6.50422621216437,6.54717629345237
164,الأمر,5,96593,7.64643370241142,7.60405986751602,8.18525551880999,8.14147638076307
165,أنها,4,96211,7.80414774473152,7.74014825090565,7.4921269347198,7.44522870166998
166,أجل,3,95066,6.01169508394393,5.93568335588017,7.14922449243664,7.12278571786523
167,حين,3,94991,8.63623808793441,8.66057231247744,7.55702982730914,7.50875926474709
168,يتم,3,94555,7.80026257059862,7.75955002784338,6.33822410531597,6.34955544592902
169,عملية,5,94533,8.51099094234479,8.51039443393153,6.32081212114778,6.33441562184048
170,العراق,6,94178,8.05089961534783,8.07542954450587,8.5510059721163,8.56706034339381
171,ت,1,94023,7.49137378685433,7.54773876803112,6.63668715302119,7.10512307702637
172,خاصة,4,93915,8.46028003351559,8.52123518183197,8.8385125309764,8.85018043013809
173,وذلك,4,92909,9.17493352026934,9.35725856993182,7.49242309815034,7.44037951698903
174,دولة,4,92426,8.28666956296516,8.2943261919312,6.56124713978389,6.58586825241968
175,وهذا,4,91495,9.65556059978386,9.88325897942858,7.1844293458298,7.17534431165487
176,المجتمع,7,90909,7.70102173948092,7.66611270041659,7.05943744740952,7.07624885105003
177,داخل,4,90594,8.83464701920963,8.96004506074661,6.88254172052626,6.86702935372689
178,لدى,3,90173,8.39760856597488,8.43875474771079,7.51030702937132,7.52250195395276
179,ر,1,90100,3.20205546664002,4.04232257735542,9.06833496228005,9.19557052884596
180,والتي,5,90056,8.84194182969969,9.05775952317348,6.84217780513184,6.80291258661086
181,مارس,4,89883,4.25032079822075,3.91416834594998,3.01133639673621,4.58613450184493
182,تنظيم,5,89202,7.79556662273797,7.73201204098596,5.31532878552723,5.9023833176133
