,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
1,ja,2,3954491,3.52161641489558,3.87524250610648,3.47976611858398,3.79204281876982
2,on,2,3124948,3.25093679083491,3.43775767625214,3.02616504318192,2.94642788181401
3,ei,2,960902,4.92110692634997,5.18173537293741,2.88709554930067,2.8063922255031
4,että,4,874765,3.61378014707384,3.43877641660262,5.12445159435076,5.32906493671477
5,myös,4,619875,6.04691153671842,5.96447537685916,5.57028143603137,6.10311130649251
6,oli,3,584853,5.02410106468075,5.34705139817584,5.35777426181889,5.41709894958824
7,ovat,4,512723,3.86487570956982,4.20558042649189,4.37273872299067,4.38908370993826
8,se,2,482852,6.24941911709728,6.17879254665049,5.72181210679354,5.53324714941907
9,mutta,5,447844,4.44599282545022,4.29034537271355,5.96685053127289,6.0658265832134
10,kun,3,420992,5.5595893706675,5.4380356290222,5.81661622236303,5.97061611516898
11,tai,3,403505,5.65051576745673,6.37270437721006,5.48715889946557,6.09866814852069
12,ole,3,386779,3.49153790951502,3.42687678405081,5.18887867078231,5.22161058027015
13,mukaan,6,350174,3.27167010922324,3.74608592984583,6.76314208136887,7.09116488398077
14,kuin,4,314066,5.18128023158992,5.25048548498059,5.73160560123027,6.32544687339568
15,voi,3,304582,6.05135159167089,6.45289556489783,4.22829178636667,4.16012764078469
16,joka,4,299680,5.50276720216708,5.39705363858504,5.3443759256477,5.1043661046509
17,sekä,4,299345,5.93111262843777,7.02858163297519,5.85831313727633,6.67762711892426
18,hän,3,293602,6.8381070683711,6.83188398777029,5.12227096036835,4.72656373670374
19,sen,3,290722,7.27899692705355,7.24380457602395,5.45842403948273,5.41145847719659
20,niin,4,289841,7.16134748914141,7.22700811548341,6.02321515630015,6.0860341659174
21,jos,3,269747,6.82690208336354,6.70355621448991,5.86186428891569,5.94155236284062
22,jo,2,262773,6.85953271458446,6.97886162536938,5.5916935513223,5.69626843318704
23,n,1,249154,2.08846981245867,1.63464082105394,5.77493520155443,6.15054288009419
24,nyt,3,229442,7.4961777785747,7.47218617267233,7.28139655061111,7.43232599341673
25,vain,4,201957,7.46363609388846,7.51905128796743,6.53226627666363,6.77547964076416
26,ollut,5,200904,5.76291791463676,5.7130540038928,6.71630266849275,6.87702738667933
27,kanssa,6,199901,4.30063470949452,4.75160049719084,7.46730963092713,7.4598703089831
28,olla,4,192981,4.51953164320696,4.46546512606339,6.56675522959956,6.74743003437503
