,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
1,a,1,15111087,2.88269149736495,2.79528443870431,1.44540050332549,1.46434202596257
2,az,2,5328065,4.31687165254557,4.26893361963842,1.81147838310044,1.92931975427062
3,és,2,3130893,4.30355570298238,4.58848165388591,4.41217842178476,4.56381627291271
4,hogy,4,2071098,2.97635939832496,2.85385482044273,4.68866761387889,4.66750059266256
5,is,2,2056281,4.42761427567139,4.59846864005709,4.92240917108101,4.86301218905261
6,nem,3,1712028,5.13695315131207,5.12222643347964,3.92372928662685,3.81097620185354
7,egy,3,1310416,5.81172875398279,5.8734634576647,4.28045839856127,4.34306447588126
8,meg,3,702720,3.45393256860028,3.45339532573753,6.56312619987817,6.48902908985379
9,de,2,632938,4.88712066475815,4.79509794537109,6.11543402819444,6.14725021205697
10,volt,4,570133,5.9281731907906,5.9965264252109,6.71796172961595,6.64776729976358
11,már,3,539071,6.3330687308613,6.40667583847918,6.21986878123601,6.19502463319048
12,ha,2,505561,6.42823147057348,6.28918267873388,6.06539463179035,6.06288330220618
13,csak,4,497804,6.5190786649472,6.52842279813907,6.31974299393102,6.36876179026571
14,ez,2,480952,7.1717000251876,7.13702754545553,6.54949223975628,6.43511432044419
15,van,3,435386,5.3157092968414,5.49840565823337,6.20900064282863,6.16830055014277
16,még,3,429649,7.11108574262204,7.22705922825044,6.25908455088426,6.25224690759731
17,szerint,7,428789,3.17374846077887,2.9156425505399,7.09577932235133,7.12206782514245
18,el,2,423984,3.50464992079932,3.48097890574837,7.11066021913292,7.07144777636435
19,vagy,4,411696,6.47850594821363,6.76939283281711,6.47666670997626,6.77356804208072
20,azt,3,409340,6.9670060954924,7.05259759098021,5.00883632628083,4.87868657584965
21,ki,2,383363,4.01785850310422,4.01262742951849,7.35166826378805,7.29732695740073
22,kell,4,382053,5.30274027545889,5.40077751493353,4.39736989641774,4.39847740725409
23,mint,4,378396,5.46876296503431,5.3889848167959,6.00720955056689,5.97273786088251
24,magyar,6,345698,6.74948178418943,6.52108723255024,4.57648542619954,4.783783134683
25,sem,3,309660,6.34171343351858,6.478288054413,6.51558472850112,6.443987786857
26,s,1,304059,4.58869879098675,7.34161377806487,7.03713564165476,7.97043713882578
27,pedig,5,298727,6.88909167947238,7.26584193847877,7.42511341386981,7.52322758213317
28,több,4,294431,7.21476885895099,7.30012130436471,5.17626758082847,5.15547138769291
29,így,3,278856,7.53204265521109,7.45256793462583,7.37765735614208,7.35872073653884
30,két,3,271742,7.8255618815098,7.85156860916126,5.66438659378735,5.76622498956261
31,be,2,270657,3.38260680636606,3.32879611346642,7.81241673894165,7.77974493603062
32,minden,6,269465,7.7467979014871,7.87789197799199,5.55326885196522,5.6448649605847
33,lehet,5,266217,6.7880448280754,6.90162597882639,6.78610438854223,6.74338788060845
34,után,4,255865,4.19564008505374,4.21191631776677,7.80677816980736,7.84271244824227
35,majd,4,247881,6.72987586442964,6.69382843315367,7.60386229898201,7.76282989154689
36,mert,4,238186,6.3034007966654,6.19906703047661,7.52017793178633,7.53244521429164
37,nagy,4,237370,8.13580545854152,8.17578092879571,4.98012541964876,5.16739638786078
38,új,2,235949,7.28741504866557,7.17642307559158,5.56314407938594,5.94257632873736
39,akkor,5,231624,7.47228317684705,7.40842781432487,7.68523686367505,7.67387790520127
40,olyan,5,229261,7.7067008093133,7.71713648629218,6.68193065461086,6.84533813117301
41,aki,3,226605,6.63622735828788,6.51364419902633,7.41757113651187,7.45066310149518
42,úgy,3,218846,7.83518224692366,7.94543028692567,4.71414622468085,4.70113602056476
43,ezt,3,218453,8.02055622113924,8.06884195710424,7.24259296577443,7.25928306685368
44,lesz,4,207789,6.65263213883073,6.93959068939189,8.05960122382668,8.08466268870135
45,fel,3,201262,4.06950379408133,4.06737525860799,8.13676582565578,8.11074314565188
46,nagyon,6,190729,8.34380724984032,8.4367299271171,4.96292631564504,4.88617206856158
47,között,6,181549,4.40335022571453,4.35377928685972,8.09978503122108,8.08770250797162
48,miatt,5,180160,4.38217133424561,4.61039390832028,8.06143010060519,8.00576670449929
49,azonban,7,178776,7.7028769099626,7.93659797251376,7.88291394183937,7.83802772247549
50,most,4,177378,8.46334872260873,8.50124023783177,7.81560490578994,7.80116718192236
51,ami,3,174656,6.97734296590014,6.87092107038911,7.74087427205012,7.7520340890058
52,egyik,5,173384,6.818462683355,6.82804531820647,5.42022713691353,5.57765126681141
53,jó,2,170663,8.28345871580124,8.25055762380695,6.09826237634905,6.16740792644474
54,első,4,158882,6.80050777354837,6.60255961394504,5.49322072078187,5.57961583297912
55,amikor,6,155876,7.47225767415811,7.35510647123655,7.71838289689415,7.82584713233916
56,arra,4,154478,7.24428998657645,7.2494408243619,6.89569032862892,6.71167197271706
57,amely,5,148160,6.74206882832375,6.62369264404513,8.06961068317158,8.11442635219971
58,mi,2,144912,8.56342943044122,8.49723048749735,7.14745619940894,7.20696497541262
59,alatt,5,138412,3.94260620391654,3.90296527769358,8.28310430499871,8.3321833200739
60,éves,4,138295,4.45027719882292,4.35442597984615,5.65166797727325,5.85500665869468
61,itt,3,137360,8.71027353836056,8.79514359451239,8.15595421891428,8.15341009677683
62,sok,3,134471,8.22261571414797,8.42597873920686,6.68672961737328,6.7742197642777
63,mellett,7,133191,5.83348041550658,5.98619964344199,8.71611423943925,8.7588862850437
64,hanem,5,127954,6.85515372809623,6.74705421534131,8.2394482395097,8.40226850627758
65,volna,5,126574,4.54089947879749,4.63631023009257,8.62109732708823,8.62168241952376
66,akik,4,126223,7.17729188051168,7.07515555230004,7.88901505891864,7.97416046918801
67,le,2,126208,4.98293692704195,5.22040130190135,8.46601904302663,8.73469114830112
68,ahol,4,125203,7.16797936627837,7.06131604461835,8.42527754151123,8.53173199139301
69,ezért,5,124916,7.86718972285382,7.77351253410284,8.44873890708518,8.46499753703472
70,illetve,7,123771,7.1641589457969,7.10983804173847,8.22562860064784,8.64041378179471
71,év,2,122219,6.14578952436579,6.13074890292523,5.03005327083751,4.99633534617136
72,nincs,5,121908,7.84223573865997,8.0438408439434,7.01946827899291,7.09184121479856
73,lett,4,119742,6.86439307295078,7.14271162096386,7.33958644336733,7.29090682692744
74,ilyen,5,117539,8.6627235200341,8.58977284777903,7.10811163741318,7.33649549394674
75,mondta,6,117063,5.92374487437555,5.79570967103351,7.92611062029755,8.300270696843
