,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
1,yang,4,4623415,4.10332582417229,3.95775658054348,2.95443715059785,2.83879480558927
2,dan,3,3685897,4.50865797506617,4.41389751709185,4.53995367955362,4.54010943400524
3,di,2,2736425,4.68864665258091,4.5928463866897,2.94940937051978,2.79929898260509
4,dengan,6,1910321,4.44372221831462,4.34254329933243,4.65912275525921,4.57824461146445
5,ini,3,1845531,4.24712315935465,3.99288795329141,5.14413669636685,4.91065571588389
6,untuk,5,1756338,5.08231563566422,4.91723313849445,4.24686121741865,4.11266088511822
7,dari,4,1453982,4.73967794962989,4.55998416827589,5.05464221535062,5.08668870067677
8,dalam,5,1287818,5.75478424877576,5.63675815242708,4.19826993506903,4.10326579536048
9,itu,3,1096831,5.34442880295371,5.1571011737906,6.09744037793035,5.81226929956438
10,tidak,5,1029263,6.12542640158866,5.97492583881422,4.33540734881491,4.22251443218675
11,pada,4,1025181,5.88900289020925,5.85188667237611,4.60041886011882,4.44710670748823
12,akan,4,908739,6.00306730036789,5.88580660547598,4.58140737787297,4.56015937226141
13,juga,4,718089,6.3944866351569,6.41293220852477,6.17176188624265,5.99625301872992
14,adalah,6,648119,6.15433267111539,6.21021485872159,6.4562115894837,6.48080781588348
15,ada,3,626660,5.92400683809704,5.8017383798316,6.17806858615927,6.11078874647302
16,bisa,4,626158,6.26138005843676,6.13041035393999,4.85656390520106,4.84451538176309
17,ke,2,620778,5.05598916056941,5.00702315659038,4.9860623270366,5.08092322226245
18,tersebut,8,553909,6.21339559323884,6.06047733372348,6.83445392419083,6.56462692834982
19,oleh,4,545167,3.95953818907915,3.89216450417773,5.529109056446,5.54446103771585
20,atau,4,529687,7.08417804052479,7.19261617391281,6.86812426705373,7.06676489251476
21,tahun,5,527504,5.30430938603287,4.97911180664118,4.62018830041687,4.18026876244949
22,karena,6,521464,6.73615081837042,6.69099460722415,6.60200465505067,6.51514881387158
23,menjadi,7,507322,6.69966434712221,6.64274228917006,5.48843052566532,5.49486796014339
24,dapat,5,492250,6.82858350978723,6.73051022410553,4.73638978553504,4.724779804037
25,lebih,5,483113,6.93317442369008,6.81428841893102,4.48555902190245,4.39330554636405
26,sebagai,7,466123,6.22215501844481,6.2024324220766,5.22392728431439,5.18916726545071
27,saya,4,456522,7.13029777165672,7.01341010051544,6.18626213236477,6.08658554521193
28,anda,4,455776,6.44953183557499,6.38530277794989,6.31939657601822,6.12158279219817
29,indonesia,9,453884,5.53978929317879,5.43499289692862,7.24715578796348,6.95287523191514
30,sudah,5,428509,7.04992555062114,6.97487992806858,5.80011183897381,5.73762980661887
31,mereka,6,427062,7.38745609514712,7.26356167385941,7.16047336940692,6.99093922626527
32,kita,4,424305,7.07743872165936,6.96391069701633,6.3147975662057,6.25985026478822
33,saat,4,384550,7.38569342326353,7.28729661438951,5.48181437994903,5.27545015295776
34,kami,4,363925,7.55187710613706,7.55321157217206,6.33502318686992,6.25389859473967
35,telah,5,361845,7.04455425203573,7.01531448102968,5.33196476728955,5.2899587792785
36,satu,4,355486,4.69627050528018,4.52666923186881,6.4275412054176,6.36710136116809
37,seperti,7,353054,7.38638960226674,7.29181394897832,6.80450979655292,6.98719542711543
38,orang,5,343332,6.51786209953741,6.33164037350472,6.5423865260688,6.37331717760405
39,harus,5,318991,7.46296489552789,7.3758864033179,5.77222306831453,5.73762088631766
40,kepada,6,310139,6.05701145940196,6.02276359021538,5.79931440503832,5.89129304022326
41,hanya,5,309911,7.34187450897646,7.21482399796861,7.00977999660173,7.00728646003005
