,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
1,и,1,4960954,3.95622319531227,4.02610669695113,3.91877022661049,4.01122356819867
2,в,1,4618984,3.98037886725662,3.96724065370326,1.99914310649952,2.04921270749621
3,на,2,2334530,4.37699177639342,4.38025869116633,3.04440483214173,3.06450743566
4,с,1,1596095,4.46547121124957,4.48237069039773,2.71025724302188,2.71879633947144
5,не,2,1464956,5.22029192876132,5.19318337942619,3.44711067518713,3.44847931858637
6,для,3,1165889,5.0739237465006,5.07510961445097,3.47133648188277,3.44637010675705
7,по,2,1021549,5.55533428378822,5.58647389270793,2.44860621298686,2.4176525909008
8,что,3,923937,4.32843344202558,4.23547672954234,5.58347517117412,5.59741727573869
9,из,2,666826,4.42482644492615,4.4235450532927,3.95176620784283,4.04423544289094
10,как,3,663068,6.11125604389918,6.06407737043788,5.71840033130142,5.76527159018676
11,к,1,653983,3.98756178470268,3.96967444609965,3.11878454070803,3.155695645802
12,а,1,639878,5.04026236508123,4.93332828720112,5.094300100474,5.07327733578873
13,это,3,638451,6.26531049212349,6.29386059599588,5.6460865914667,5.63808430652396
14,от,2,599145,4.63722379397974,4.63606199142927,4.75437978152966,4.84221896843224
15,или,3,536421,6.37822629181937,6.55962296979351,6.23747378794597,6.46520950818497
16,вы,2,450629,6.05425756216591,6.01475656430275,2.73533373940752,2.72633447855324
17,но,2,447683,5.53902355391682,5.44905816690973,6.69012495889703,6.69092959962564
18,при,3,438188,7.25182283138619,7.30225774949705,2.43939194726649,2.45136291426298
19,мы,2,437914,7.27297707733508,7.25369466093088,3.15509709666347,3.13678225515575
20,все,3,421185,6.98682129536964,7.00474067602172,5.44162284488559,5.43662758134365
21,за,2,420922,5.89827004184917,5.93929969848867,4.68975573064238,4.70959085695967
22,о,1,383951,4.43948927020055,4.40580593530921,4.09005886351908,4.1577122324743
23,его,3,370318,7.24148361642468,7.29982050860599,6.9937678313554,7.07402025200382
24,у,1,359277,7.02756903371048,7.0747446653393,3.65292360247176,3.61161866149372
25,если,4,335779,6.99765885316013,6.89165364941984,5.72828961908718,5.71988628586814
26,так,3,329893,7.22889760545226,7.19907740474362,5.52573591657889,5.46511169373578
27,он,2,315609,7.23196647345003,7.21789730930021,5.70141281641819,5.63907193322203
28,до,2,315058,6.3213516991846,6.40435746867006,4.38047049817936,4.41140970821917
29,я,1,305368,7.38454434147579,7.39685827316355,5.01768830200552,5.002241248581
30,только,6,302845,6.5774065618111,6.5559737359675,7.23630931584354,7.28911645584293
31,то,2,286443,6.9439494486942,6.88137496491826,6.96809870886962,6.95431705363161
32,можно,5,280880,7.279669411808,7.3753803286753,4.67871773820632,4.66768273764043
33,также,5,266330,5.09409063670989,5.03698863833184,7.64946015343072,7.73051526925051
34,же,2,260641,4.76193886210282,4.72462328574297,7.82573722105181,7.91155537930595
35,их,2,259242,7.66457415634846,7.72132254463459,7.42463217776226,7.50237825296003
36,вам,3,238067,5.52277758174441,5.49206741371661,6.73304195685927,6.70820965888799
37,время,5,235597,3.57663149094947,3.54246536869458,7.63793008162206,7.65986399982937
38,может,5,226437,7.44909636960593,7.5413077414946,4.10289741906279,4.10312290181196
39,чтобы,5,209586,6.41120150725962,6.3230939943693,6.27834984902809,6.28788165780606
40,более,5,207206,7.63119720464733,7.61867196587502,5.03344188061108,5.05954942253895
41,будет,5,201841,7.50091239517259,7.54631281102771,5.68127639624362,5.71557745568548
42,они,3,199085,7.78363666259326,7.76706938183976,5.95729135321418,5.95389479680617
43,которые,7,194464,6.2946274062445,6.19772739820896,6.06603900399759,6.02474318003637
44,очень,5,190991,8.26969808809101,8.33516067708005,4.46310417575882,4.46514119754786
45,быть,4,189902,3.23090587795323,3.20427594657307,6.05748763945941,6.14985718497733
