,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
1,de,2,12828685,2.39342404654211,2.34561965632009,2.41992327154928,2.46462218419914
2,la,2,6826947,3.53229312073865,3.42820573943354,1.56651886121208,1.55609412652071
3,en,2,5275386,3.9230546212092,3.91412810134355,3.22472084450518,3.26452741054599
4,el,2,5259855,3.67841868288816,3.59581966437528,2.21247460333383,2.19709509782104
5,y,1,5169209,3.90675321558346,3.96533380598254,4.4674205051327,4.508111985005
6,que,3,4470697,4.15060471362229,4.0916289494823,3.49550653577239,3.4456115540514
7,a,1,3388462,3.60056617527006,3.5509775378666,3.6171662241839,3.610269915005
8,los,3,2941330,4.54469629948089,4.44966306090903,2.15021840499894,2.12649659976192
9,se,2,2162003,5.01659685089746,4.9867753025878,1.93639245454966,1.87041302410076
10,del,3,2052175,4.62655625589497,4.6120341684048,3.1372096424633,3.14943867960279
11,las,3,1973994,5.06337459823437,4.97663352927203,2.16184076043586,2.13785900907959
12,un,2,1945080,5.01501493838807,4.95062161355809,3.11705436339944,3.09931250462664
13,para,4,1929218,5.03038712552277,5.0378647063485,4.08770110908619,4.07338194395824
14,con,3,1917197,4.7152933734985,4.7143412873456,4.75243408648105,4.76000548900545
15,por,3,1742001,4.78811579729585,4.75828753477621,4.44508511529394,4.44213533907892
16,una,3,1639779,5.26268095217075,5.19707309134166,3.38896911992082,3.38282413984273
17,es,2,1619947,5.54709283421136,5.67394309033526,4.6500536112027,4.62144173079694
18,no,2,1353187,5.78289754081867,5.75882597972412,4.14245196710058,4.08154886601231
19,su,2,1249027,5.67327760155175,5.60144941502452,4.11455519475069,4.10340696510075
20,al,2,953778,5.62621353870929,5.62183428625187,4.39708260499788,4.38719177725967
21,como,4,852317,5.97134377218604,5.98489961376055,6.44301272088769,6.51783441272222
22,lo,2,804709,6.56277493459016,6.50583888324216,4.24927231288242,4.21936757209811
23,más,3,783152,6.23717476575099,6.1913179640924,4.32481583555565,4.28230978924164
24,o,1,769596,6.26310836278769,6.40017483736922,6.60249841490134,6.74637360696884
25,sus,3,554504,6.62107568665127,6.56144256546289,4.01148580931355,3.99800930486707
26,este,4,525673,7.21112019574252,7.14227890610056,4.81966720130132,4.81340897057487
27,si,2,468100,6.96963263402653,6.93300247478687,5.58900054863872,5.55993146598729
28,esta,4,452410,7.55995098187552,7.50220750703042,5.08041677852685,5.09080752155233
29,ha,2,395129,6.74975084512609,6.89875706005038,2.34007740223941,2.30910947241575
30,son,3,386837,7.19061225228918,7.31785444751136,6.36431950088679,6.39673033033558
31,pero,4,358906,6.63394795883059,6.54781719174916,7.19101849247966,7.17039078087567
32,sobre,5,335191,6.67111210660292,6.74265423557623,6.69656423025458,6.70681523296324
33,ser,3,316900,5.79067226471195,5.73251476889116,6.43285887284226,6.4257449826626
34,puede,5,313385,7.03341192172784,7.05533110144142,4.0753614617295,4.07174700675869
35,sin,3,301671,8.03613716590596,8.05644728451495,4.3854087476529,4.37173873528431
36,todo,4,294572,7.62976676825635,7.58921704868177,6.61938145569622,6.56022494357195
37,desde,5,287716,7.92979710081023,8.03071841370686,6.49258154846996,6.53055356533804
38,le,2,275448,7.45320190744356,7.52773382773922,4.16619516874415,4.1436001118538
39,entre,5,274545,7.04335378257967,7.08320277859651,6.45884562441801,6.45927445067596
