,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
1,ve,2,3152830,4.32232403785137,4.29446001254342,4.06614231048599,4.06589647994871
2,bir,3,2753950,4.08651451298039,3.94801156636671,3.15464309485342,3.003726820751
3,bu,2,1761030,5.60611869186152,5.47280708720233,3.67917008623451,3.52734318438558
4,da,2,1146932,4.27633194163239,4.30150930007271,5.86843099599988,5.83155009987096
5,de,2,1091336,4.34264720661474,4.39099639620981,5.94851535602679,5.92751691974969
6,için,4,797360,3.81682321668734,3.65633277281426,5.90561471366689,5.83653826591291
7,ile,3,755655,4.88988828810886,4.89840716165038,5.44811845886185,5.40079878712652
8,çok,3,563038,6.21457700936643,6.11739669556958,4.38318799425415,4.30741610844686
9,olarak,6,554288,5.00040454121703,4.85398544743544,5.9430426068936,5.9577702298296
10,daha,4,506481,6.39281627984295,6.28940823311129,4.38920829307297,4.22414363271258
11,en,2,444992,6.29318546202978,6.38658379391811,3.27272727300491,3.06304207666052
12,olan,4,428652,5.34259329515169,5.25971850628969,6.49933323484589,6.77715423700591
13,her,3,417588,7.16918627315628,7.1036259964757,3.84296656743246,3.73540949690363
14,gibi,4,372535,5.380967751689,5.49042027763098,6.77091215628292,6.7466452539333
15,ne,2,349906,7.0877369323956,7.06943333782923,4.87875720925878,4.72528620766036
16,kadar,5,338729,3.54836506958474,3.5001840630121,6.7328990953421,6.81316460875442
17,o,1,314068,7.49141789580297,7.51060989576093,5.62881889579735,5.52959091213473
18,var,3,303898,5.84256753067922,5.80180674901085,6.27994942513486,6.06169609146657
19,ama,3,290612,6.5922784394043,6.76241621018928,6.90201642409107,6.84675098021475
20,ise,3,286181,6.73026703126845,6.8746992241787,7.31864651945791,7.33674632013155
21,sonra,5,280719,3.01095790859887,3.03397543554054,7.37895041664309,7.41364782468442
22,ki,2,258630,4.38861437752876,4.41264384044905,7.35762484169479,7.23614437866648
23,yeni,4,255234,7.78339107953345,7.84796470737278,5.76413467016779,5.77424897504233
24,büyük,5,248569,6.7782724290075,6.66380402060194,5.44473026324873,5.37263871330946
25,in,2,220675,3.61151669902857,5.31157459413687,7.12394230327897,7.63947014161244
26,son,3,220500,7.31414615720733,7.65213849726933,4.42548531797101,4.21150276179884
27,ya,2,207198,7.05414606501711,7.93676249987284,5.70609598846797,5.34456839118674
28,zaman,5,196304,5.083479693703,4.94892313646921,7.34036742364365,7.34814313938662
29,devam,5,193832,4.93497399895769,4.80192440867787,2.37201067449327,2.31561553701055
30,ilk,3,190513,7.31883689890799,7.38770937122555,5.34426606514158,5.16683602721256
31,diye,4,189889,5.5354700317899,5.7003599028095,4.60425600515771,4.62355227531025
32,başkanı,7,183421,2.8590381663574,2.55967205932411,4.37596227140458,5.59974945575628
33,değil,5,179415,7.23819576128565,7.19927649549473,7.31460694280665,7.06115585374607
34,iyi,3,177033,6.44245145906545,6.26882583298737,6.22039818096737,6.21412472116624
35,hem,3,176013,8.22045952620222,8.17046035054605,6.28127452146459,5.96229359271432
36,olduğunu,8,175767,6.89381173289867,6.80306023463685,4.6401753591274,4.49183188172946
37,önemli,6,174872,6.40183824399639,6.30009982854503,6.35780150318447,6.28894355911447
38,ilgili,6,168948,3.67201416751606,3.56037361229508,7.05640844110139,6.94164540156597
39,göre,4,166696,2.71524102497776,2.67112868479185,7.71119413165699,7.6611397584255
40,dedi,4,162971,5.08669676772978,5.14348630082872,6.21345929587193,5.96594278155278
41,ancak,5,161942,8.64999054098617,8.73188783825294,7.91742809198641,7.92098263519432
42,oldu,4,160657,6.41208825543489,6.28685427018227,6.85212718362675,6.60665975934999
43,iki,3,157408,7.89004887891786,7.82044551835027,6.03850452424338,5.97719298249381
44,olduğu,6,156999,6.79944527875557,6.73086820740519,6.38071403269021,6.19687869388853
45,yer,3,153505,6.30780531046243,6.31511525883106,4.02872377972127,3.95314713302296
